"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","종합유원시설업","03_07_12_P","3480000","CDFI5271002005000001","2005-07-22","","02","휴업","02","휴업","","2024-03-04","2024-06-21","","053-608-5000","","711-861","대구광역시 달성군 가창면 냉천리 27-9","대구광역시 달성군 가창면 가창로 891","","주식회사 스파밸리","2024-03-13 10:22:09","U","2024-03-16 02:40:00","","347783.240396825","255360.475912095","허가유원시설업","유원시설업","자연녹지지역","5","기타","","","근린생활시설","4","1","0","0","","","0","0","","0","0","","0","0","11종(안전성검사 대상 유기기구)","0","Y","N","N","Y","","","0","","","","0",
"2","종합유원시설업","03_07_12_P","5090000","CDFI5271002008000001","2008-07-18","","02","휴업","02","휴업","","","","","054-630-5500","","750-090","경상북도 영주시 아지동 산 6번지","경상북도 영주시 회헌로 434 (아지동)","750-090","판타시온 리조트","2018-07-19 17:36:57","I","2018-08-31 23:59:59","","342964.724453392","375115.313189474","허가유원시설업","유원시설업","","","","","","","","","","","","","","","","","","","","","17종(안전성검사대상)","","Y","Y","Y","Y","","","","","","","",
"3","종합유원시설업","03_07_12_P","3820000","CDFI5271002018000001","2018-06-20","","02","휴업","02","휴업","","2024-01-01","2024-06-30","","031-894-0357","","","경기도 의정부시 장암동 135 아일랜드캐슬 A동","경기도 의정부시 장곡로 22, 아일랜드캐슬 A동 (장암동)","11723","아일랜드캐슬","2023-12-14 11:05:17","U","2023-12-16 02:40:00","","204646.143926033","467147.126892372","허가유원시설업","","자연녹지지역","4","기타","","","기타","1","3","0","0","","","0","0","","0","0","","0","18934","17대","0","Y","Y","Y","Y","","","0","","","","18934",
"4","종합유원시설업","03_07_12_P","4281000","CDFI5271002008000001","2008-06-12","","02","휴업","02","휴업","","2024-04-23","2026-04-22","","033-330-6000","","","강원특별자치도 평창군 봉평면 면온리 1095-1 (주)휘닉스평창","강원특별자치도 평창군 봉평면 태기로 174 (주)휘닉스평창","25307","휘닉스 블루캐니언","2024-04-26 11:41:12","U","2024-04-28 02:40:00","","317177.713905004","454046.509523181","허가유원시설업","유원시설업","관리지역","0","기타","","","근린생활시설","2","2","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","종합유원시설업","03_07_12_P","5380000","CDFI5271001993000001","1993-04-30","","02","휴업","02","휴업","","2024-04-01","2024-09-30","","379-7125","","626-863","경상남도 양산시 하북면 순지리 470","경상남도 양산시 하북면 통도7길 68","50502","(주)동일리조트 통도환타지아","2024-03-26 17:03:39","U","2024-03-28 02:40:00","","388798.338309481","224082.745546103","허가유원시설업","유원시설업","","","기타","","","유기장","","","","","","","","","","","","","","","통도(일반) 안전성대상 22종, 안전성비대상 17종 26대/ 통도(아쿠아) 안전성대상 13종 17대","","Y","Y","Y","Y","","","","","","","",
"6","종합유원시설업","03_07_12_P","5380000","CDFI5271001993000002","1993-04-30","","02","휴업","02","휴업","","2024-04-01","2024-09-30","","055-370-3025","","626-863","경상남도 양산시 하북면 순지리 430","경상남도 양산시 하북면 지내마을길 26-1","","(주)동일리조트 통도환타지아","2024-04-02 09:27:15","U","2024-04-04 02:40:00","","388737.778487152","224257.619316234","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","46(검사대상33, 비대상13)-> 물놀이형16(검사대상16), 일반유기기구30(검사대상17, 비대상13)","0","","","","","","","0","","","","0",
"7","종합유원시설업","03_07_12_P","5350000","CDFI5271002014000001","2014-05-01","","02","휴업","02","휴업","","2024-04-13","2024-05-03","","055-900-0100","","621-260","경상남도 김해시 신문동 1417","경상남도 김해시 장유로 555 (신문동)","51011","롯데워터파크","2024-04-29 14:32:25","U","2024-05-01 02:40:00","","366507.960012272","188331.938239533","허가유원시설업","","일반상업지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","구내치료비로 1인당 1,000,000원 / 1사고당 5,000,000(배상책임이 없을 경우 보상한도)","25","Y","Y","Y","Y","","","0","","","","0",
"8","종합유원시설업","03_07_12_P","3060000","CDFI5271001987000001","1987-10-30","","02","휴업","02","휴업","","2012-09-28","2013-09-27","","0437-6058","","131-800","서울특별시 중랑구 망우동 산 69-1번지","","","용마공원놀이동산","2013-01-04 14:50:00","I","2018-08-31 23:59:59","","209252.941292347","454663.379263107","허가유원시설업","유원시설업","","","기타","","","","","","","","","","","","","","","","","","","","N","N","N","N","","","","","","","",
"9","종합유원시설업","03_07_12_P","4430000","CDFI5271002003000001","2003-04-21","","03","폐업","03","폐업","2010-12-31","","","","043-733-7833","","373-813","충청북도 옥천군 안내면 장계리 산 7-1번지","충청북도 옥천군 안내면 장계1길 57-1","373-811","(주)대청 비치랜드","2011-11-16 10:15:19","I","2018-08-31 23:59:59","","256975.701974384","319767.97944223","허가유원시설업","유원시설업","","","","","","","","","","","","","","","","","","","","","","","N","N","N","N","","","","","","","",
"10","종합유원시설업","03_07_12_P","4510000","CDFI5271002003000001","1993-07-27","","03","폐업","03","폐업","2021-06-08","","","","041-932-9860","","355-944","충청남도 보령시 신흑동 1438-1","충청남도 보령시 대해로 860 (신흑동)","33488","대천필랜드","2021-07-08 09:38:40","U","2021-07-10 02:40:00","","156821.141794093","312031.828025577","허가유원시설업","유원시설업","관리지역","2","기타","","","유기장","2","","","","","","","","","","","","","14395","14종33대(안전6종20대, 비안전8종13대)","","Y","Y","Y","Y","","","","","","","14395",
