,도로명전체주소,사업장명,분류
0,대구광역시 달성군 가창면 가창로 891,주식회사 스파밸리,테마파크
1,경상북도 영주시 회헌로 434 (아지동),판타시온 리조트,테마파크
2,"경기도 의정부시 장곡로 22, 아일랜드캐슬 A동 (장암동)",아일랜드캐슬,테마파크
3,강원특별자치도 평창군 봉평면 태기로 174 (주)휘닉스평창,휘닉스 블루캐니언,테마파크
4,경상남도 양산시 하북면 통도7길 68,(주)동일리조트 통도환타지아,테마파크
5,경상남도 양산시 하북면 지내마을길 26-1,(주)동일리조트 통도환타지아,테마파크
6,경상남도 김해시 장유로 555 (신문동),롯데워터파크,테마파크
7,,용마공원놀이동산,테마파크
8,충청북도 옥천군 안내면 장계1길 57-1,(주)대청 비치랜드,테마파크
9,충청남도 보령시 대해로 860 (신흑동),대천필랜드,테마파크
10,,(주)인천도시관광,테마파크
11,"인천광역시 연수구 능허대로 76  (옥련동,외 1필지(194-53번지))",유케이 펀페어스 리미티드 한국지점,테마파크
12,강원특별자치도 원주시 소초면 구룡사로 47,(주)드림랜드,테마파크
13,,어드밴쳐팰리스,테마파크
14,부산광역시 수영구 광안해변로 361 (민락동),(주)미월드,테마파크
15,,진해파크랜드(주),테마파크
16,경상남도 창원시 진해구 여좌천로 206 (태백동),썬비치 워터파크,테마파크
17,경상남도 창원시 마산합포구 구산면 로봇랜드로 250,로봇랜드,테마파크
18,전라남도 보성군 회천면 우암길 8,율포해수풀장,테마파크
19,대전광역시 유성구 대덕대로 480 (도룡동),꿈돌이랜드,테마파크
20,,보문레저타운,테마파크
21,,자유랜드,테마파크
22,경상남도 창녕군 부곡면 온천중앙로 77,제일흥업(주)부곡하와이실외유기장,테마파크
23,경기도 시흥시 월곶중앙로30번길 7  (월곶동),마린월드,테마파크
24,전북특별자치도 남원시 양림길 58-13 (어현동),남원랜드,테마파크
25,전북특별자치도 김제시 상동로 166 (상동동),주)스파월드,테마파크
26,,(주)서울드림랜드,테마파크
27,대구광역시 달서구 두류공원로 200 (두류동),이월드,테마파크
28,"부산광역시 해운대구 달맞이길 30, 포디움동 3,4층 (중동, 엘시티)",클럽디오아시스(CLUBD OASIS) 스파&워터파크,테마파크
29,경상북도 구미시 금오산로 341 (남통동),금오랜드,테마파크
30,충청남도 천안시 동남구 수신면 수신로 576,상록랜드,테마파크
31,충청남도 천안시 동남구 성남면 종합휴양지로 200,소노벨 천안,테마파크
