거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"233,000",중개거래,2006,2024,,,개인,개인,역삼동,역삼푸르지오,2,2,84.9097,서울 강남구,754-1,11680,7,,
"197,500",중개거래,2005,2024,,,개인,개인,역삼동,e-편한세상,2,2,59.606,서울 강남구,755-4,11680,25,,
"69,000",중개거래,2006,2024,,,개인,개인,역삼동,역삼I'PARK,2,3,28.246,서울 강남구,713-11,11680,1,,
"233,000",중개거래,2006,2024,,,개인,개인,역삼동,역삼푸르지오,2,3,84.9097,서울 강남구,754-1,11680,2,,
"31,500",중개거래,2002,2024,,24.02.14,개인,개인,역삼동,대우디오빌,2,4,30.03,서울 강남구,720-25,11680,5,,
"230,000",중개거래,2005,2024,,,개인,개인,역삼동,역삼래미안,2,4,80.87,서울 강남구,757,11680,4,,
"232,500",중개거래,2010,2024,,,개인,개인,역삼동,래미안그레이튼(진달래2차),2,5,84.81,서울 강남구,762-3,11680,5,,
"192,500",중개거래,2005,2024,,,개인,개인,역삼동,e-편한세상,2,5,59.606,서울 강남구,755-4,11680,4,,
"181,500",중개거래,1998,2024,,24.03.05,개인,개인,역삼동,동부센트레빌,2,5,84.97,서울 강남구,716,11680,19,,
"109,000",중개거래,2002,2024,,24.04.22,개인,개인,역삼동,명인갤러리,2,5,84.78,서울 강남구,729-37,11680,1,,
"298,000",중개거래,2006,2024,206,24.03.05,개인,개인,역삼동,역삼I'PARK,2,6,116.285,서울 강남구,713-11,11680,17,,
"30,000",중개거래,2001,2024,,24.02.29,개인,개인,역삼동,한화진넥스빌,2,7,39.2,서울 서초구,706-20,11680,17,,
"239,000",중개거래,2005,2024,,,개인,개인,역삼동,e-편한세상,2,7,84.675,경기 남양주시,755-4,11680,10,,
"269,000",중개거래,2016,2024,,,개인,개인,역삼동,역삼자이,2,14,114.019,서울 강남구,711-3,11680,3,,
"181,000",중개거래,2005,2024,,,개인,개인,역삼동,e-편한세상,2,14,59.606,서울 강남구,755-4,11680,2,,
"242,000",중개거래,2014,2024,,,개인,개인,역삼동,테헤란아이파크,2,18,70.8333,서울 강남구,709-5,11680,17,,
"290,000",중개거래,2016,2024,,,개인,개인,역삼동,역삼자이,2,19,114.5958,서울 강남구,711-3,11680,16,,
"263,000",중개거래,2005,2024,,,개인,개인,역삼동,e-편한세상,2,20,84.991,서울 강남구,755-4,11680,11,,
"190,000",중개거래,2005,2024,106,24.03.27,개인,개인,역삼동,역삼래미안,2,22,59.53,서울 강남구,757,11680,15,,
"40,200",중개거래,2002,2024,,24.03.28,개인,개인,역삼동,대우디오빌,2,23,39.13,서울 강남구,720-25,11680,7,,
"87,000",중개거래,2012,2024,역삼종합시장 더블루,24.04.19,개인,개인,역삼동,강남서해그랑블,2,24,70.57,서울 강남구,796-29,11680,5,,
"77,000",중개거래,2004,2024,,24.03.04,개인,개인,역삼동,역삼동우정에쉐르1,2,27,71.78,서울 강남구,826-29,11680,5,,
"240,000",중개거래,2006,2024,,,개인,개인,역삼동,역삼푸르지오,2,28,84.9097,서울 강남구,754-1,11680,10,,
"121,000",중개거래,2003,2024,,,개인,개인,역삼동,세방하이빌1,2,29,59.77,서울 강남구,771-4,11680,3,,
"257,000",중개거래,1983,2024,602,24.04.03,개인,개인,개포동,개포주공6단지,2,1,83.21,서울 강남구,185,11680,12,,
"135,000",중개거래,1992,2024,218,24.03.29,개인,개인,개포동,성원대치2단지아파트,2,2,49.86,서울 강남구,12,11680,5,,
"137,000",중개거래,1992,2024,218,24.03.29,개인,개인,개포동,성원대치2단지아파트,2,2,49.86,서울 강남구,12,11680,11,,
"176,000",중개거래,1983,2024,,,개인,개인,개포동,개포주공7단지,2,5,53.46,서울 강남구,185,11680,14,,
"210,000",중개거래,2019,2024,,,개인,개인,개포동,디에이치아너힐즈,2,5,59.7479,서울 강남구,138,11680,14,,
"260,000",중개거래,2020,2024,115,24.03.29,개인,개인,개포동,개포래미안포레스트,2,6,84.83,서울 강남구,1282,11680,16,,
"225,000",중개거래,1983,2024,608,24.03.14,개인,개인,개포동,개포주공6단지,2,6,73.02,서울 강남구,185,11680,7,,
"219,000",중개거래,1983,2024,704,24.04.18,개인,개인,개포동,개포주공7단지,2,6,73.26,서울 강남구,185,11680,15,,
"256,500",중개거래,1983,2024,,,개인,개인,개포동,개포주공6단지,2,7,83.21,서울 강남구,185,11680,10,24.03.05,O
"135,000",중개거래,1992,2024,217,24.03.20,개인,개인,개포동,성원대치2단지아파트,2,7,49.86,서울 강남구,12,11680,4,,
"256,500",중개거래,1983,2024,608,24.03.15,개인,개인,개포동,개포주공6단지,2,7,83.21,서울 강남구,185,11680,10,,
"185,000",중개거래,1983,2024,601,24.03.11,개인,개인,개포동,개포주공6단지,2,7,60.13,서울 강남구,185,11680,14,,
"305,000",중개거래,1984,2024,,,개인,개인,개포동,경남1,2,7,123.28,서울 강남구,649,11680,9,,
"199,300",중개거래,2019,2024,,,개인,개인,개포동,래미안블레스티지,2,7,59.967,서울 강남구,1280,11680,8,,
"213,500",중개거래,2019,2024,304,24.04.23,개인,개인,개포동,디에이치아너힐즈,2,13,59.8732,서울 강남구,138,11680,17,,
"190,000",중개거래,1983,2024,703,24.03.12,개인,개인,개포동,개포주공7단지,2,16,60.76,서울 강남구,185,11680,2,,
"103,000",중개거래,1992,2024,210,24.03.28,개인,개인,개포동,성원대치2단지아파트,2,17,39.53,서울 강남구,12,11680,1,,
"115,000",중개거래,1992,2024,302,24.03.07,개인,개인,개포동,삼익대청아파트,2,19,39.53,서울 강남구,12,11680,6,,
"194,000",중개거래,1983,2024,706,24.03.18,개인,개인,개포동,개포주공7단지,2,21,60.76,서울 강남구,185,11680,3,,
"193,000",중개거래,2019,2024,,,개인,개인,개포동,래미안블레스티지,2,21,59.897,서울 강남구,1280,11680,12,,
"227,000",중개거래,1983,2024,702,24.03.19,개인,개인,개포동,개포주공7단지,2,22,73.26,서울 강남구,185,11680,15,,
"264,000",중개거래,2020,2024,,,개인,개인,개포동,개포래미안포레스트,2,23,84.59,서울 강남구,1282,11680,10,,
"257,000",중개거래,1983,2024,708,24.03.21,개인,개인,개포동,개포주공7단지,2,23,83.7,서울 강남구,185,11680,11,,
"220,000",중개거래,2019,2024,,,개인,개인,개포동,디에이치아너힐즈,2,24,59.7479,서울 강남구,138,11680,21,,
"192,000",중개거래,1983,2024,703,24.03.28,개인,개인,개포동,개포주공7단지,2,24,60.76,서울 강남구,185,11680,11,,
"255,000",중개거래,1983,2024,707,24.03.18,개인,개인,개포동,개포주공7단지,2,24,83.7,서울 강남구,185,11680,6,,
